[2020-03-02T06:14:02.357936-05:00] logger.WARNING: ee [] []
[2020-03-02T08:22:13.931101-05:00] logger.DEBUG: dimitry [] []
[2020-03-02T08:22:13.931749-05:00] logger.INFO: dimitry [] []
[2020-03-02T08:22:13.931749-05:00] logger.INFO: dimitry [] []
[2020-03-02T08:22:13.932555-05:00] logger.NOTICE: dimitry [] []
[2020-03-02T08:22:13.932555-05:00] logger.NOTICE: dimitry [] []
[2020-03-02T08:22:13.932555-05:00] logger.NOTICE: dimitry [] []
[2020-03-02T08:22:13.933402-05:00] logger.WARNING: dimitry [] []
[2020-03-02T08:22:13.933402-05:00] logger.WARNING: dimitry [] []
[2020-03-02T08:22:13.933402-05:00] logger.WARNING: dimitry [] []
[2020-03-02T08:22:13.934643-05:00] logger.ERROR: dimitry [] []
[2020-03-02T08:22:13.934643-05:00] logger.ERROR: dimitry [] []
[2020-03-02T08:22:13.934643-05:00] logger.ERROR: dimitry [] []
[2020-03-02T08:22:13.935698-05:00] logger.CRITICAL: dimitry [] []
[2020-03-02T08:22:13.935698-05:00] logger.CRITICAL: dimitry [] []
[2020-03-02T08:22:13.935698-05:00] logger.CRITICAL: dimitry [] []
[2020-03-02T08:22:13.936845-05:00] logger.ALERT: dimitry [] []
[2020-03-02T08:22:13.936845-05:00] logger.ALERT: dimitry [] []
[2020-03-02T08:22:13.936845-05:00] logger.ALERT: dimitry [] []
[2020-03-02T08:22:13.937924-05:00] logger.EMERGENCY: dimitry [] []
[2020-03-02T08:22:13.937924-05:00] logger.EMERGENCY: dimitry [] []
[2020-03-02T08:22:13.937924-05:00] logger.EMERGENCY: dimitry [] []
[2020-03-02T08:22:17.660642-05:00] logger.DEBUG: test123 [] []
[2020-03-02T08:22:17.661257-05:00] logger.INFO: test123 [] []
[2020-03-02T08:22:17.661257-05:00] logger.INFO: test123 [] []
[2020-03-02T08:22:17.661587-05:00] logger.NOTICE: test123 [] []
[2020-03-02T08:22:17.661587-05:00] logger.NOTICE: test123 [] []
[2020-03-02T08:22:17.661587-05:00] logger.NOTICE: test123 [] []
[2020-03-02T08:22:17.662018-05:00] logger.WARNING: test123 [] []
[2020-03-02T08:22:17.662018-05:00] logger.WARNING: test123 [] []
[2020-03-02T08:22:17.662018-05:00] logger.WARNING: test123 [] []
[2020-03-02T08:22:17.662589-05:00] logger.ERROR: test123 [] []
[2020-03-02T08:22:17.662589-05:00] logger.ERROR: test123 [] []
[2020-03-02T08:22:17.662589-05:00] logger.ERROR: test123 [] []
[2020-03-02T08:22:17.663259-05:00] logger.CRITICAL: test123 [] []
[2020-03-02T08:22:17.663259-05:00] logger.CRITICAL: test123 [] []
[2020-03-02T08:22:17.663259-05:00] logger.CRITICAL: test123 [] []
[2020-03-02T08:22:17.664093-05:00] logger.ALERT: test123 [] []
[2020-03-02T08:22:17.664093-05:00] logger.ALERT: test123 [] []
[2020-03-02T08:22:17.664093-05:00] logger.ALERT: test123 [] []
[2020-03-02T08:22:17.664983-05:00] logger.EMERGENCY: test123 [] []
[2020-03-02T08:22:17.664983-05:00] logger.EMERGENCY: test123 [] []
[2020-03-02T08:22:17.664983-05:00] logger.EMERGENCY: test123 [] []
